Age,Hours_Per_Week,Work_Life_Balance_Score,Average_Salary,Social_Isolation_Score,Burnout_Level,Physical_Issue_Count,Gender_Female,Work_Arrangement_Onsite,Industry_Professional Services,Work_Arrangement_Hybrid,Region_South America,Industry_Technology,Region_Africa,Region_Europe
31,45,3,90.0,2,2,1,1.0,0.0,False,0.0,0.0,True,0.0,0.0
27,36,2,110.0,2,2,3,1.0,1.0,True,0.0,0.0,False,0.0,0.0
39,54,2,70.0,3,0,2,1.0,0.0,False,1.0,0.0,True,0.0,0.0
40,36,3,110.0,1,2,1,0.0,1.0,False,0.0,1.0,False,0.0,0.0
39,55,4,70.0,2,2,3,0.0,0.0,False,1.0,0.0,True,0.0,1.0
22,43,1,70.0,2,2,3,0.0,1.0,False,0.0,0.0,True,0.0,0.0
53,47,2,50.0,5,1,3,0.0,1.0,False,0.0,0.0,False,1.0,0.0
56,52,4,90.0,2,2,1,1.0,1.0,False,0.0,0.0,False,1.0,0.0
33,48,2,70.0,2,2,1,1.0,0.0,False,1.0,0.0,False,0.0,0.0
64,40,4,70.0,4,0,3,1.0,0.0,False,0.0,0.0,True,0.0,0.0
49,35,3,120.0,4,1,1,0.0,0.0,False,1.0,0.0,False,0.0,0.0
33,48,2,90.0,2,0,2,1.0,0.0,True,1.0,0.0,False,0.0,0.0
44,47,3,120.0,3,2,1,1.0,0.0,False,1.0,0.0,False,0.0,0.0
25,59,2,70.0,4,1,2,1.0,0.0,False,0.0,1.0,True,0.0,0.0
58,50,3,50.0,2,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
58,37,1,120.0,4,0,3,0.0,0.0,False,0.0,0.0,True,0.0,0.0
65,64,4,50.0,3,2,1,1.0,1.0,False,0.0,0.0,False,1.0,0.0
44,49,3,70.0,2,2,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
22,59,2,70.0,1,2,1,1.0,0.0,False,1.0,0.0,False,1.0,0.0
60,35,3,70.0,4,1,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
55,47,4,90.0,2,1,3,1.0,1.0,False,0.0,0.0,False,0.0,0.0
65,45,4,120.0,1,1,3,0.0,1.0,False,0.0,0.0,False,0.0,0.0
39,52,3,90.0,4,1,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
43,40,3,90.0,1,0,1,1.0,0.0,False,1.0,0.0,False,0.0,0.0
22,45,4,110.0,2,1,2,1.0,1.0,False,0.0,0.0,False,0.0,1.0
22,60,5,90.0,3,0,4,1.0,1.0,False,0.0,0.0,False,0.0,1.0
59,58,5,90.0,3,2,2,0.0,0.0,False,0.0,0.0,True,1.0,0.0
48,49,1,90.0,2,1,2,0.0,1.0,True,0.0,0.0,False,0.0,1.0
42,52,1,50.0,3,1,3,0.0,1.0,True,0.0,0.0,False,0.0,0.0
64,45,3,110.0,3,0,3,1.0,1.0,False,0.0,0.0,False,0.0,1.0
53,38,5,110.0,5,0,3,1.0,0.0,False,0.0,0.0,True,0.0,0.0
22,65,5,110.0,3,0,2,1.0,0.0,True,0.0,1.0,False,0.0,0.0
41,46,3,70.0,2,2,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
23,44,5,50.0,5,0,3,0.0,0.0,False,0.0,0.0,True,0.0,0.0
30,47,3,110.0,4,0,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
55,64,3,70.0,3,1,2,0.0,0.0,False,1.0,0.0,False,0.0,1.0
31,46,5,90.0,2,0,2,0.0,1.0,False,0.0,1.0,False,0.0,0.0
45,39,1,70.0,4,1,2,0.0,0.0,False,0.0,0.0,True,0.0,0.0
38,43,3,90.0,1,2,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
46,40,4,90.0,1,2,4,0.0,1.0,True,0.0,1.0,False,0.0,0.0
52,39,4,110.0,3,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
44,56,3,120.0,1,2,3,1.0,1.0,False,0.0,0.0,False,0.0,0.0
63,42,2,90.0,3,2,3,1.0,1.0,True,0.0,0.0,False,1.0,0.0
58,53,3,50.0,2,2,1,0.0,0.0,False,1.0,0.0,False,0.0,0.0
43,55,3,90.0,2,2,2,0.0,1.0,False,0.0,0.0,True,0.0,0.0
45,57,3,90.0,3,1,4,1.0,1.0,False,0.0,1.0,True,0.0,0.0
47,55,3,50.0,3,0,2,0.0,0.0,False,0.0,0.0,True,0.0,0.0
44,43,3,110.0,2,1,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
40,60,4,70.0,5,2,1,0.0,0.0,False,0.0,0.0,False,0.0,0.0
62,52,4,70.0,5,0,2,0.0,0.0,False,1.0,0.0,True,0.0,1.0
29,46,5,90.0,3,1,1,1.0,0.0,False,1.0,0.0,False,0.0,0.0
52,42,3,50.0,4,2,3,0.0,0.0,False,0.0,0.0,True,0.0,0.0
47,55,1,70.0,1,1,1,0.0,1.0,True,0.0,1.0,False,0.0,0.0
64,41,1,90.0,3,1,4,0.0,0.0,False,0.0,0.0,False,0.0,0.0
51,41,3,70.0,4,2,2,0.0,0.0,False,0.0,0.0,False,0.0,0.0
58,63,1,70.0,3,2,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
26,45,3,70.0,3,2,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
23,50,4,70.0,5,0,2,0.0,0.0,False,0.0,0.0,True,0.0,0.0
24,53,1,90.0,1,0,1,1.0,1.0,False,0.0,1.0,False,0.0,0.0
25,42,4,50.0,5,2,3,1.0,0.0,False,0.0,0.0,True,0.0,1.0
56,55,2,50.0,3,2,3,1.0,1.0,False,0.0,0.0,False,0.0,0.0
26,41,3,90.0,3,0,3,1.0,0.0,False,1.0,0.0,True,0.0,0.0
55,43,2,50.0,4,2,2,1.0,0.0,True,1.0,0.0,False,1.0,0.0
53,44,2,120.0,4,2,1,1.0,0.0,False,1.0,1.0,True,0.0,0.0
37,48,1,90.0,3,1,4,0.0,1.0,False,0.0,1.0,True,0.0,0.0
29,48,5,70.0,3,1,1,1.0,1.0,True,0.0,0.0,False,0.0,0.0
46,41,2,90.0,5,2,1,0.0,0.0,False,0.0,0.0,True,1.0,0.0
61,60,1,50.0,1,2,2,1.0,1.0,False,0.0,1.0,False,0.0,0.0
40,64,4,70.0,1,1,2,1.0,1.0,False,0.0,0.0,False,0.0,1.0
49,49,1,70.0,1,1,2,1.0,0.0,False,1.0,1.0,True,0.0,0.0
27,44,5,70.0,3,1,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
38,47,2,70.0,1,2,2,0.0,0.0,True,1.0,0.0,False,0.0,0.0
44,45,5,70.0,3,1,1,1.0,0.0,False,0.0,0.0,True,0.0,0.0
24,39,3,90.0,4,1,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
59,47,3,50.0,1,0,2,0.0,0.0,False,1.0,1.0,False,0.0,0.0
64,42,3,90.0,1,0,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
43,65,4,110.0,3,0,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
48,63,3,90.0,1,0,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
63,55,2,120.0,2,2,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
53,35,3,50.0,3,2,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
61,45,1,90.0,3,1,3,1.0,0.0,False,0.0,0.0,True,0.0,0.0
52,60,2,70.0,1,0,2,1.0,1.0,False,0.0,1.0,False,0.0,0.0
40,35,2,90.0,3,0,2,0.0,0.0,False,0.0,0.0,True,1.0,0.0
37,43,4,50.0,4,2,1,0.0,0.0,False,0.0,0.0,False,1.0,0.0
55,53,3,90.0,2,0,3,1.0,0.0,False,1.0,0.0,True,1.0,0.0
32,44,5,70.0,4,0,2,0.0,0.0,False,0.0,0.0,True,0.0,0.0
47,51,5,50.0,1,2,2,0.0,0.0,True,0.0,0.0,False,0.0,0.0
47,48,4,110.0,5,2,3,0.0,0.0,False,0.0,0.0,False,0.0,0.0
62,37,3,110.0,1,1,5,0.0,1.0,True,0.0,0.0,False,0.0,0.0
29,58,3,90.0,3,2,1,0.0,0.0,False,1.0,0.0,False,1.0,0.0
42,57,3,70.0,4,2,3,1.0,1.0,True,0.0,0.0,False,0.0,0.0
44,39,2,120.0,3,2,1,0.0,1.0,False,0.0,0.0,False,0.0,0.0
30,58,3,90.0,4,0,1,0.0,0.0,True,0.0,0.0,False,0.0,0.0
60,65,1,110.0,3,1,2,0.0,1.0,True,0.0,0.0,False,1.0,0.0
60,51,3,70.0,2,0,3,0.0,1.0,False,0.0,1.0,False,0.0,0.0
40,50,3,90.0,1,0,2,0.0,1.0,True,0.0,1.0,False,0.0,0.0
27,50,4,70.0,1,2,4,1.0,1.0,False,0.0,1.0,False,0.0,0.0
34,63,5,110.0,5,0,2,0.0,0.0,True,0.0,0.0,False,1.0,0.0
37,58,3,50.0,3,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
32,39,5,70.0,5,1,1,0.0,1.0,False,0.0,0.0,False,0.0,0.0
43,36,4,70.0,2,0,4,0.0,0.0,True,0.0,0.0,False,0.0,1.0
27,36,3,70.0,2,2,3,0.0,1.0,False,0.0,0.0,False,0.0,1.0
49,51,3,110.0,3,2,3,1.0,1.0,True,0.0,0.0,False,0.0,1.0
33,59,3,120.0,4,2,1,0.0,0.0,False,1.0,0.0,True,1.0,0.0
51,43,4,70.0,4,2,1,0.0,0.0,False,1.0,0.0,False,0.0,0.0
45,36,5,110.0,5,1,1,0.0,1.0,True,0.0,0.0,False,0.0,0.0
25,49,4,70.0,3,1,1,1.0,1.0,False,0.0,0.0,False,1.0,0.0
25,40,2,70.0,3,0,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
47,64,3,70.0,1,1,3,0.0,0.0,False,1.0,0.0,True,1.0,0.0
42,55,1,70.0,5,1,1,0.0,1.0,False,0.0,0.0,False,0.0,0.0
43,63,3,90.0,2,2,3,1.0,1.0,False,0.0,1.0,False,0.0,0.0
52,44,1,70.0,3,2,4,0.0,0.0,False,0.0,0.0,False,0.0,0.0
25,62,4,50.0,5,0,1,1.0,0.0,False,1.0,0.0,False,1.0,0.0
37,60,3,90.0,3,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
30,48,1,50.0,2,2,1,0.0,1.0,False,0.0,0.0,False,0.0,0.0
36,53,3,70.0,1,0,3,0.0,1.0,False,0.0,0.0,False,0.0,0.0
40,42,3,70.0,3,1,4,1.0,0.0,False,0.0,0.0,False,1.0,0.0
63,44,5,90.0,3,2,2,1.0,0.0,True,1.0,0.0,False,0.0,0.0
40,45,5,110.0,3,1,2,1.0,0.0,True,1.0,0.0,False,0.0,0.0
59,48,3,50.0,5,0,2,0.0,0.0,True,1.0,0.0,False,0.0,0.0
62,41,2,70.0,2,2,1,1.0,0.0,False,1.0,1.0,False,0.0,0.0
47,60,4,50.0,5,1,1,1.0,0.0,True,0.0,0.0,False,1.0,0.0
50,43,2,110.0,2,0,5,0.0,1.0,True,0.0,0.0,False,1.0,0.0
35,39,3,70.0,5,2,2,1.0,0.0,True,1.0,0.0,False,1.0,0.0
57,61,2,90.0,2,1,1,1.0,1.0,False,0.0,1.0,False,0.0,0.0
33,55,1,70.0,4,0,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
36,64,3,90.0,3,2,1,0.0,1.0,False,0.0,0.0,False,0.0,0.0
44,35,5,70.0,2,0,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
44,56,4,90.0,3,0,1,1.0,0.0,True,0.0,0.0,False,0.0,0.0
63,54,2,70.0,1,0,4,0.0,1.0,False,0.0,0.0,False,0.0,0.0
62,45,4,70.0,3,2,3,1.0,0.0,True,1.0,0.0,False,1.0,0.0
61,49,2,110.0,2,1,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
62,37,3,50.0,2,1,5,1.0,1.0,False,0.0,0.0,False,0.0,0.0
58,54,1,90.0,5,0,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
26,50,4,70.0,1,1,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
32,59,3,50.0,5,2,2,1.0,0.0,False,0.0,0.0,True,0.0,1.0
65,55,5,90.0,2,1,2,1.0,0.0,False,1.0,0.0,True,0.0,0.0
27,36,4,50.0,3,1,2,0.0,0.0,True,1.0,0.0,False,0.0,0.0
56,53,3,110.0,3,0,1,0.0,1.0,False,0.0,0.0,False,0.0,1.0
44,64,3,90.0,2,0,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
64,56,2,90.0,1,0,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
24,58,3,70.0,1,2,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
30,40,2,90.0,2,0,3,0.0,1.0,True,0.0,0.0,False,0.0,1.0
32,45,4,50.0,3,2,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
39,55,2,90.0,3,0,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
62,49,5,120.0,4,1,1,1.0,1.0,False,0.0,0.0,False,0.0,1.0
34,45,2,70.0,2,0,3,0.0,0.0,False,1.0,0.0,True,1.0,0.0
34,36,3,110.0,4,0,4,1.0,1.0,False,0.0,0.0,False,0.0,0.0
30,42,5,70.0,5,0,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
39,45,3,70.0,3,2,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
61,55,4,70.0,3,1,4,0.0,0.0,False,1.0,0.0,True,0.0,1.0
59,58,5,90.0,3,1,2,1.0,0.0,True,1.0,0.0,False,0.0,0.0
56,60,4,70.0,1,1,2,1.0,1.0,False,0.0,0.0,False,0.0,1.0
48,38,3,90.0,1,1,2,0.0,1.0,False,0.0,0.0,False,1.0,0.0
60,56,4,110.0,2,0,1,0.0,0.0,False,1.0,0.0,False,0.0,1.0
43,52,2,110.0,3,1,3,1.0,0.0,False,1.0,0.0,False,0.0,0.0
48,53,1,110.0,4,1,1,1.0,0.0,False,0.0,1.0,True,0.0,0.0
46,65,3,50.0,2,2,1,1.0,1.0,True,0.0,0.0,False,1.0,0.0
22,40,3,90.0,3,1,2,0.0,1.0,False,0.0,1.0,False,0.0,0.0
47,37,1,70.0,5,2,1,0.0,0.0,False,0.0,0.0,True,0.0,0.0
43,52,4,90.0,3,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
62,44,4,70.0,5,2,3,0.0,1.0,False,0.0,0.0,False,0.0,1.0
50,48,3,70.0,3,1,2,1.0,1.0,True,0.0,0.0,False,1.0,0.0
32,65,1,90.0,2,2,1,1.0,1.0,False,0.0,1.0,False,0.0,0.0
54,43,3,90.0,3,1,3,0.0,0.0,False,1.0,1.0,False,0.0,0.0
56,41,1,70.0,5,1,1,0.0,1.0,True,0.0,1.0,False,0.0,0.0
39,42,3,70.0,1,0,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
43,44,2,70.0,3,1,3,0.0,0.0,False,0.0,0.0,False,1.0,0.0
55,36,3,70.0,3,0,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
33,64,3,90.0,5,1,3,0.0,1.0,False,0.0,0.0,False,0.0,0.0
61,50,1,70.0,3,2,3,1.0,0.0,True,1.0,1.0,False,0.0,0.0
28,58,4,110.0,2,1,2,0.0,1.0,True,0.0,0.0,False,0.0,0.0
41,49,3,50.0,2,2,4,0.0,0.0,False,0.0,1.0,True,0.0,0.0
62,55,1,110.0,3,2,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
31,49,1,70.0,4,1,2,1.0,0.0,False,1.0,0.0,True,0.0,0.0
63,45,5,70.0,3,1,2,0.0,1.0,False,0.0,0.0,False,1.0,0.0
61,52,4,90.0,5,2,1,0.0,1.0,True,0.0,1.0,False,0.0,0.0
31,42,2,70.0,4,2,3,0.0,1.0,False,0.0,0.0,False,1.0,0.0
42,44,3,70.0,3,2,3,0.0,1.0,False,0.0,0.0,False,0.0,0.0
22,41,1,70.0,3,2,1,0.0,0.0,False,1.0,0.0,False,0.0,0.0
60,42,1,90.0,2,0,3,1.0,1.0,False,0.0,0.0,False,0.0,0.0
55,54,3,120.0,5,2,2,0.0,0.0,False,0.0,0.0,False,1.0,0.0
24,56,3,120.0,2,1,3,0.0,0.0,False,1.0,1.0,True,0.0,0.0
23,60,4,70.0,1,2,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
61,62,3,90.0,1,2,1,1.0,1.0,False,0.0,1.0,False,0.0,0.0
22,36,5,110.0,4,2,3,1.0,1.0,False,0.0,0.0,False,0.0,1.0
26,47,3,70.0,4,2,3,1.0,1.0,False,0.0,0.0,False,0.0,0.0
40,42,3,90.0,3,0,4,1.0,0.0,False,1.0,0.0,False,0.0,0.0
25,47,2,120.0,3,2,1,0.0,0.0,False,1.0,0.0,False,0.0,0.0
23,64,4,110.0,2,1,2,0.0,1.0,True,0.0,0.0,False,0.0,0.0
24,65,3,50.0,4,0,1,1.0,0.0,False,0.0,0.0,True,0.0,0.0
47,42,4,90.0,4,0,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
22,52,4,70.0,2,2,2,1.0,0.0,False,1.0,0.0,True,1.0,0.0
64,45,2,70.0,1,0,1,1.0,0.0,False,0.0,0.0,True,0.0,0.0
36,61,1,90.0,2,2,3,1.0,0.0,False,1.0,0.0,False,1.0,0.0
36,39,3,110.0,3,0,3,1.0,1.0,False,0.0,0.0,False,0.0,0.0
50,56,4,110.0,4,2,2,0.0,0.0,False,0.0,0.0,False,0.0,1.0
45,64,4,50.0,1,2,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
22,49,3,70.0,2,1,1,1.0,1.0,False,0.0,0.0,True,0.0,1.0
56,50,2,70.0,2,1,2,1.0,1.0,True,0.0,1.0,False,0.0,0.0
58,50,2,90.0,3,0,2,1.0,0.0,False,0.0,0.0,False,0.0,0.0
50,38,4,50.0,2,2,2,0.0,0.0,False,1.0,0.0,False,1.0,0.0
28,55,2,70.0,2,0,1,1.0,1.0,False,0.0,0.0,True,0.0,0.0
45,64,3,70.0,3,2,3,0.0,1.0,False,0.0,1.0,False,0.0,0.0
25,48,4,90.0,2,2,3,1.0,1.0,False,0.0,0.0,False,0.0,1.0
62,36,1,110.0,4,2,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
37,37,3,70.0,2,0,1,1.0,1.0,True,0.0,1.0,False,0.0,0.0
64,42,3,70.0,4,2,1,1.0,0.0,False,1.0,0.0,False,0.0,1.0
36,56,5,90.0,3,1,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
35,64,1,120.0,3,0,2,1.0,0.0,False,0.0,1.0,False,0.0,0.0
58,56,1,120.0,1,2,2,0.0,1.0,False,0.0,0.0,False,0.0,1.0
62,46,1,110.0,4,2,1,1.0,0.0,False,1.0,1.0,False,0.0,0.0
61,41,3,70.0,3,2,2,1.0,1.0,False,0.0,1.0,False,0.0,0.0
40,44,3,90.0,1,2,2,1.0,0.0,False,1.0,0.0,True,0.0,1.0
25,48,3,110.0,5,2,1,1.0,0.0,False,0.0,0.0,False,0.0,0.0
42,55,1,90.0,3,2,3,0.0,0.0,False,1.0,0.0,False,1.0,0.0
44,55,4,70.0,3,2,2,1.0,1.0,True,0.0,1.0,False,0.0,0.0
49,49,3,50.0,5,0,3,1.0,1.0,False,0.0,0.0,False,1.0,0.0
22,40,3,90.0,2,2,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
36,49,1,90.0,3,0,4,1.0,0.0,False,1.0,1.0,False,0.0,0.0
50,63,2,90.0,2,2,1,1.0,1.0,False,0.0,1.0,False,0.0,0.0
51,41,2,90.0,3,0,1,1.0,0.0,False,1.0,0.0,True,0.0,0.0
64,43,3,110.0,3,0,1,1.0,1.0,False,0.0,1.0,False,0.0,0.0
33,43,3,70.0,1,2,3,0.0,1.0,False,0.0,1.0,False,0.0,0.0
30,57,4,110.0,4,1,3,0.0,0.0,False,1.0,0.0,False,0.0,0.0
65,65,1,110.0,3,1,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
33,40,1,70.0,1,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
46,54,2,90.0,1,1,2,0.0,0.0,False,1.0,0.0,False,1.0,0.0
64,42,3,90.0,1,0,2,0.0,1.0,True,0.0,0.0,False,0.0,0.0
45,35,2,70.0,2,0,2,0.0,0.0,False,0.0,0.0,False,0.0,0.0
35,56,4,90.0,3,1,2,1.0,1.0,False,0.0,0.0,True,0.0,0.0
43,51,5,90.0,1,2,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
65,64,3,90.0,2,2,2,0.0,0.0,False,1.0,1.0,False,0.0,0.0
25,47,4,70.0,2,0,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
51,49,3,70.0,2,1,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
52,54,3,110.0,1,0,1,0.0,0.0,False,1.0,0.0,False,0.0,0.0
64,60,3,90.0,3,0,2,1.0,0.0,False,0.0,0.0,False,1.0,0.0
35,55,2,110.0,4,1,3,0.0,1.0,True,0.0,0.0,False,1.0,0.0
35,57,2,50.0,1,2,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
39,50,2,50.0,3,0,2,1.0,0.0,False,1.0,0.0,False,0.0,1.0
28,39,4,50.0,3,0,3,1.0,0.0,False,1.0,0.0,False,0.0,0.0
31,46,3,50.0,2,0,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
47,45,1,70.0,5,0,2,0.0,1.0,False,0.0,0.0,False,1.0,0.0
33,59,3,50.0,2,2,1,1.0,0.0,True,1.0,0.0,False,0.0,0.0
43,42,4,70.0,2,2,2,0.0,0.0,False,1.0,0.0,False,0.0,0.0
54,63,2,90.0,2,2,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
46,55,2,90.0,4,1,1,0.0,0.0,True,1.0,0.0,False,0.0,0.0
49,59,3,50.0,2,0,1,1.0,0.0,False,1.0,0.0,True,0.0,0.0
51,39,5,110.0,2,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
37,55,2,90.0,4,1,1,0.0,0.0,False,1.0,0.0,False,1.0,0.0
64,44,1,50.0,2,2,4,1.0,0.0,False,1.0,0.0,False,0.0,1.0
59,55,3,70.0,3,2,3,1.0,0.0,False,1.0,0.0,False,0.0,0.0
46,45,1,70.0,3,2,1,0.0,0.0,True,1.0,0.0,False,0.0,0.0
33,46,1,70.0,3,0,2,0.0,0.0,True,0.0,0.0,False,0.0,0.0
61,56,4,50.0,5,0,1,0.0,1.0,False,0.0,0.0,False,0.0,1.0
58,55,3,70.0,2,2,3,0.0,1.0,False,0.0,0.0,False,0.0,0.0
49,49,2,90.0,2,1,4,1.0,1.0,False,0.0,0.0,False,0.0,0.0
28,58,5,90.0,4,1,1,0.0,0.0,False,1.0,0.0,False,1.0,0.0
36,41,3,70.0,1,2,2,1.0,0.0,False,1.0,0.0,False,1.0,0.0
27,55,3,90.0,3,2,2,0.0,0.0,True,1.0,0.0,False,0.0,0.0
23,50,3,70.0,3,2,2,0.0,1.0,False,0.0,0.0,False,1.0,0.0
49,59,3,90.0,3,2,3,0.0,0.0,False,1.0,0.0,False,0.0,0.0
